,Needs MWh
0,0.03577
1,0.02823
2,0.02458
3,0.02308
4,0.02282
5,0.0248
6,0.03216
7,0.04416
8,0.046588
9,0.014795
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.011093
16,0.044791
17,0.05832
18,0.06927
19,0.08182
20,0.07995
21,0.07564
22,0.06378
23,0.04879
24,0.03706
25,0.02915
26,0.02513
27,0.02329
28,0.02271
29,0.02396
30,0.02792
31,0.0354
32,0.044895
33,0.020549
34,0.006747
35,0.0
36,0.0
37,0.002115
38,0.009935
39,0.025978
40,0.055068
41,0.06542
42,0.07427
43,0.08758
44,0.08159
45,0.07255
46,0.06326
47,0.05051
48,0.04063
49,0.03208
50,0.02696
51,0.02427
52,0.02312
53,0.02372
54,0.02622
55,0.03091
56,0.040053
57,0.046429
58,0.05812
59,0.067162
60,0.066144
61,0.064174
62,0.05615
63,0.05751
64,0.06079
65,0.06587
66,0.07374
67,0.0836
68,0.07927
69,0.07241
70,0.06132
71,0.04787
72,0.03577
73,0.02823
74,0.02458
75,0.02308
76,0.02282
77,0.0248
78,0.03216
79,0.04416
80,0.046795
81,0.03908
82,0.03424
83,0.023148
84,0.007803
85,0.0
86,0.0
87,0.012284
88,0.043697
89,0.05832
90,0.06927
91,0.08182
92,0.07995
93,0.07564
94,0.06378
95,0.04879
96,0.03577
97,0.02823
98,0.02458
99,0.02308
100,0.02282
101,0.0248
102,0.03216
103,0.04416
104,0.0466
105,0.014804
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.011239
112,0.043352
113,0.05832
114,0.06927
115,0.08182
116,0.07995
117,0.07564
118,0.06378
119,0.04879
120,0.03577
121,0.02823
122,0.02458
123,0.02308
124,0.02282
125,0.0248
126,0.03216
127,0.04416
128,0.04675
129,0.01641
130,0.005856
131,0.0
132,0.0
133,0.00178
134,0.0
135,0.014898
136,0.045948
137,0.05832
138,0.06927
139,0.08182
140,0.07995
141,0.07564
142,0.06378
143,0.04879
144,0.03577
145,0.02823
146,0.02458
147,0.02308
148,0.02282
149,0.0248
150,0.03216
151,0.04416
152,0.046651
153,0.030954
154,0.017451
155,0.01527
156,0.0
157,0.044727
158,0.049983
159,0.046249
160,0.050331
161,0.05832
162,0.06927
163,0.08182
164,0.07995
165,0.07564
166,0.06378
167,0.04879
168,0.03577
169,0.02823
170,0.02458
171,0.02308
172,0.02282
173,0.0248
174,0.03216
175,0.04416
176,0.046601
177,0.017714
178,0.003188
179,0.0
180,0.0
181,0.037422
182,0.027317
183,0.048926
184,0.049701
185,0.05832
186,0.06927
187,0.08182
188,0.07995
189,0.07564
190,0.06378
191,0.04879
192,0.03706
193,0.02915
194,0.02513
195,0.02329
196,0.02271
197,0.02396
198,0.02792
199,0.0354
200,0.04524
201,0.039168
202,0.045549
203,0.0509
204,0.060021
205,0.049413
206,0.04493
207,0.05179
208,0.059206
209,0.06542
210,0.07427
211,0.08758
212,0.08159
213,0.07255
214,0.06326
215,0.05051
216,0.04063
217,0.03208
218,0.02696
219,0.02427
220,0.02312
221,0.02372
222,0.02622
223,0.03091
224,0.0402
225,0.048589
226,0.057603
227,0.065919
228,0.07394
229,0.065544
230,0.057433
231,0.061546
232,0.061014
233,0.06587
234,0.07374
235,0.0836
236,0.07927
237,0.07241
238,0.06132
239,0.04787
240,0.03577
241,0.02823
242,0.02458
243,0.02308
244,0.02282
245,0.0248
246,0.03216
247,0.04416
248,0.04675
249,0.041934
250,0.016861
251,0.035144
252,0.031178
253,0.046655
254,0.049499
255,0.047658
256,0.045655
257,0.05832
258,0.06927
259,0.08182
260,0.07995
261,0.07564
262,0.06378
263,0.04879
264,0.03577
265,0.02823
266,0.02458
267,0.02308
268,0.02282
269,0.0248
270,0.03216
271,0.04416
272,0.046495
273,0.013705
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.010153
280,0.039281
281,0.05832
282,0.06927
283,0.08182
284,0.07995
285,0.07564
286,0.06378
287,0.04879
288,0.03577
289,0.02823
290,0.02458
291,0.02308
292,0.02282
293,0.0248
294,0.03216
295,0.04416
296,0.046495
297,0.014309
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.010491
304,0.041172
305,0.05832
306,0.06927
307,0.08182
308,0.07995
309,0.07564
310,0.06378
311,0.04879
312,0.03577
313,0.02823
314,0.02458
315,0.02308
316,0.02282
317,0.0248
318,0.03216
319,0.04416
320,0.04655
321,0.02213
322,0.019392
323,0.001235
324,0.0
325,0.001475
326,0.046325
327,0.048218
328,0.047884
329,0.05832
330,0.06927
331,0.08182
332,0.07995
333,0.07564
334,0.06378
335,0.04879
336,0.03577
337,0.02823
338,0.02458
339,0.02308
340,0.02282
341,0.0248
342,0.03216
343,0.04416
344,0.046443
345,0.018191
346,0.0
347,0.0
348,0.0
349,0.018495
350,0.0
351,0.008704
352,0.034651
353,0.05832
354,0.06927
355,0.08182
356,0.07995
357,0.07564
358,0.06378
359,0.04879
360,0.03706
361,0.02915
362,0.02513
363,0.02329
364,0.02271
365,0.02396
366,0.02792
367,0.0354
368,0.044748
369,0.029171
370,0.041758
371,0.053309
372,0.06081
373,0.059585
374,0.058619
375,0.060591
376,0.05999
377,0.06542
378,0.07427
379,0.08758
380,0.08159
381,0.07255
382,0.06326
383,0.05051
384,0.04063
385,0.03208
386,0.02696
387,0.02427
388,0.02312
389,0.02372
390,0.02622
391,0.03091
392,0.0402
393,0.052294
394,0.054985
395,0.061841
396,0.073605
397,0.05017
398,0.052632
399,0.03218
400,0.058658
401,0.06587
402,0.07374
403,0.0836
404,0.07927
405,0.07241
406,0.06132
407,0.04787
408,0.03577
409,0.02823
410,0.02458
411,0.02308
412,0.02282
413,0.0248
414,0.03216
415,0.04416
416,0.04644
417,0.014315
418,0.0
419,0.0
420,0.015431
421,0.004323
422,0.0
423,0.033314
424,0.046816
425,0.05832
426,0.06927
427,0.08182
428,0.07995
429,0.07564
430,0.06378
431,0.04879
432,0.03577
433,0.02823
434,0.02458
435,0.02308
436,0.02282
437,0.0248
438,0.03216
439,0.04416
440,0.046323
441,0.017087
442,0.0
443,0.0
444,0.0
445,0.003488
446,0.001457
447,0.019158
448,0.04385
449,0.05832
450,0.06927
451,0.08182
452,0.07995
453,0.07564
454,0.06378
455,0.04879
456,0.03577
457,0.02823
458,0.02458
459,0.02308
460,0.02282
461,0.0248
462,0.03216
463,0.04416
464,0.046436
465,0.034177
466,0.009605
467,0.018372
468,0.022197
469,0.029242
470,0.048792
471,0.04448
472,0.048887
473,0.05832
474,0.06927
475,0.08182
476,0.07995
477,0.07564
478,0.06378
479,0.04879
480,0.03577
481,0.02823
482,0.02458
483,0.02308
484,0.02282
485,0.0248
486,0.03216
487,0.04416
488,0.046383
489,0.028865
490,0.011058
491,0.019061
492,0.03154
493,0.037283
494,0.045451
495,0.045826
496,0.049565
497,0.05832
498,0.06927
499,0.08182
500,0.07995
501,0.07564
502,0.06378
503,0.04879
504,0.03577
505,0.02823
506,0.02458
507,0.02308
508,0.02282
509,0.0248
510,0.03216
511,0.04416
512,0.046152
513,0.046171
514,0.042347
515,0.020377
516,0.024724
517,0.0
518,0.041338
519,0.04074
520,0.046258
521,0.05832
522,0.06927
523,0.08182
524,0.07995
525,0.07564
526,0.06378
527,0.04879
528,0.03706
529,0.02915
530,0.02513
531,0.02329
532,0.02271
533,0.02396
534,0.02792
535,0.0354
536,0.044329
537,0.040665
538,0.01895
539,0.0
540,0.0
541,0.021082
542,0.025385
543,0.016024
544,0.048999
545,0.06542
546,0.07427
547,0.08758
548,0.08159
549,0.07255
550,0.06326
551,0.05051
552,0.04063
553,0.03208
554,0.02696
555,0.02427
556,0.02312
557,0.02372
558,0.02622
559,0.03091
560,0.03929
561,0.015677
562,0.009588
563,0.007834
564,0.040218
565,0.018088
566,0.008488
567,0.046674
568,0.058036
569,0.06587
570,0.07374
571,0.0836
572,0.07927
573,0.07241
574,0.06132
575,0.04787
576,0.03577
577,0.02823
578,0.02458
579,0.02308
580,0.02282
581,0.0248
582,0.03216
583,0.04416
584,0.045963
585,0.023368
586,0.02055
587,0.006773
588,0.036691
589,0.033095
590,0.024859
591,0.036524
592,0.04656
593,0.05832
594,0.06927
595,0.08182
596,0.07995
597,0.07564
598,0.06378
599,0.04879
600,0.03577
601,0.02823
602,0.02458
603,0.02308
604,0.02282
605,0.0248
606,0.03216
607,0.04416
608,0.045827
609,0.017987
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.001307
616,0.033502
617,0.05832
618,0.06927
619,0.08182
620,0.07995
621,0.07564
622,0.06378
623,0.04879
624,0.03577
625,0.02823
626,0.02458
627,0.02308
628,0.02282
629,0.0248
630,0.03216
631,0.04416
632,0.046137
633,0.011337
634,0.0
635,0.0
636,0.0
637,0.0
638,0.031528
639,0.027284
640,0.046276
641,0.05832
642,0.06927
643,0.08182
644,0.07995
645,0.07564
646,0.06378
647,0.04879
648,0.03577
649,0.02823
650,0.02458
651,0.02308
652,0.02282
653,0.0248
654,0.03216
655,0.04416
656,0.046017
657,0.010019
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.000156
664,0.032825
665,0.05832
666,0.06927
667,0.08182
668,0.07995
669,0.07564
670,0.06378
671,0.04879
672,0.03577
673,0.02823
674,0.02458
675,0.02308
676,0.02282
677,0.0248
678,0.03216
679,0.04416
680,0.045709
681,0.043671
682,0.035953
683,0.030356
684,0.041564
685,0.044435
686,0.048118
687,0.046236
688,0.047213
689,0.05832
690,0.06927
691,0.08182
692,0.07995
693,0.07564
694,0.06378
695,0.04879
696,0.03706
697,0.02915
698,0.02513
699,0.02329
700,0.02271
701,0.02396
702,0.02792
703,0.0354
704,0.043821
705,0.026781
706,0.056485
707,0.058349
708,0.06239
709,0.062086
710,0.061621
711,0.05501
712,0.032405
713,0.06542
714,0.07427
715,0.08758
716,0.08159
717,0.07255
718,0.06326
719,0.05051
720,0.04063
721,0.03208
722,0.02696
723,0.02427
724,0.02312
725,0.02372
726,0.02622
727,0.03091
728,0.039034
729,0.044552
730,0.05378
731,0.068133
732,0.054238
733,0.041424
734,0.055094
735,0.060968
736,0.060569
737,0.06587
738,0.07374
739,0.0836
740,0.07927
741,0.07241
742,0.06132
743,0.04787
744,0.03337
745,0.02651
746,0.02325
747,0.02187
748,0.02159
749,0.02349
750,0.03073
751,0.04205
752,0.042736
753,0.031866
754,0.02984
755,0.026246
756,0.0
757,0.020007
758,0.0
759,0.007593
760,0.014954
761,0.05027
762,0.06359
763,0.07749
764,0.07552
765,0.07109
766,0.05953
767,0.04545
768,0.03337
769,0.02651
770,0.02325
771,0.02187
772,0.02159
773,0.02349
774,0.03073
775,0.04205
776,0.042469
777,0.009933
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.014542
785,0.05027
786,0.06359
787,0.07749
788,0.07552
789,0.07109
790,0.05953
791,0.04545
792,0.03337
793,0.02651
794,0.02325
795,0.02187
796,0.02159
797,0.02349
798,0.03073
799,0.04205
800,0.042139
801,0.036589
802,0.014103
803,0.026899
804,0.029085
805,0.034788
806,0.03207
807,0.038907
808,0.041843
809,0.05027
810,0.06359
811,0.07749
812,0.07552
813,0.07109
814,0.05953
815,0.04545
816,0.03337
817,0.02651
818,0.02325
819,0.02187
820,0.02159
821,0.02349
822,0.03073
823,0.04205
824,0.042064
825,0.027247
826,0.033355
827,0.033684
828,0.03506
829,0.031276
830,0.034656
831,0.034968
832,0.039899
833,0.05027
834,0.06359
835,0.07749
836,0.07552
837,0.07109
838,0.05953
839,0.04545
840,0.03337
841,0.02651
842,0.02325
843,0.02187
844,0.02159
845,0.02349
846,0.03073
847,0.04205
848,0.042667
849,0.042909
850,0.039299
851,0.040462
852,0.029702
853,0.044457
854,0.045331
855,0.042354
856,0.042311
857,0.05027
858,0.06359
859,0.07749
860,0.07552
861,0.07109
862,0.05953
863,0.04545
864,0.03553
865,0.02794
866,0.02399
867,0.02228
868,0.02179
869,0.02308
870,0.02724
871,0.03561
872,0.044952
873,0.048233
874,0.031761
875,0.050273
876,0.048872
877,0.051444
878,0.049505
879,0.047794
880,0.041156
881,0.054317
882,0.06841
883,0.08458
884,0.07837
885,0.069
886,0.06019
887,0.04799
888,0.03663
889,0.02856
890,0.02446
891,0.02261
892,0.02196
893,0.02273
894,0.0254
